gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation
HKDC1,0.852109092377256,10.3660263788969,6.36130944453377,5.24609742618778e-10,8.24386738400937e-10,10.8831590601801,NS
PKLR,-2.01973762112402,7.29569112709832,-6.29681924361928,7.68193479217614e-10,1.17908766577587e-09,10.5099067191628,Down
ALDH1B1,-0.825956879844956,10.9697410071942,-6.28195791467981,8.38402941689468e-10,1.2576044125342e-09,10.4243389121018,NS
ENO3,0.78779303940568,7.80670743405276,6.22597503372134,1.16385980795877e-09,1.70699438500619e-09,10.1035083096473,NS
PFKL,-0.325396479328163,13.2134052757794,-5.55171926972948,5.02995135190901e-08,7.21688672230423e-08,6.43027009392691,NS
ADPGK,0.228156734496123,10.5066378896883,5.4184254298931,1.0163693945176e-07,1.42724212847152e-07,5.74682765806495,NS
G6PC2,-0.547084124677,1.00641199040767,-4.90520802341152,1.3380833301065e-06,1.83986457889643e-06,3.25164960924798,NS
ENO1,0.284114179586562,16.1550599520384,4.7290474078092,3.08733577255118e-06,4.15845226506893e-06,2.44606023337471,NS
PGAM4,-0.473689195736431,2.04539736211031,-4.38384538195977,1.47624346941714e-05,1.94864137963063e-05,0.944634552877531,NS
PFKM,-0.298882105943151,12.0297793764988,-4.20217561365903,3.23295966659151e-05,4.18383015676549e-05,0.19615736900092,NS
BPGM,-0.175561208010336,10.4634700239808,-3.21792823434852,0.00139153841043576,0.0017550781266037,-3.34424761125431,NS
DLD,-0.209916585917311,12.458587529976,-3.21418069316693,0.00140938091984843,0.0017550781266037,-3.35603237001117,NS
LDHA,0.243158914728681,14.3389448441247,3.00575578286169,0.00280849814539111,0.00343260884436692,-3.99081581126857,NS
LDHAL6B,-0.277012645348836,1.55792997601918,-2.86124847041898,0.00443111964648795,0.00531734357578554,-4.40699871601902,NS
PDHA1,-0.175600775193797,12.5751558752998,-2.8039191889607,0.00528329721198522,0.00622674314269686,-4.56664668640933,NS
