database,direction,threshold,pathway_id,pathway_name,FDR,significant,gene_count,genes
KEGG,Up,LFC0,hsa04914,Progesterone-mediated oocyte maturation,1,FALSE,0,""
KEGG,Up,LFC0,hsa04915,Estrogen signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04916,Melanogenesis,1,FALSE,0,""
KEGG,Up,LFC0,hsa04917,Prolactin signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04918,Thyroid hormone synthesis,1,FALSE,0,""
KEGG,Up,LFC0,hsa04921,Oxytocin signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04923,Regulation of lipolysis in adipocytes,1,FALSE,0,""
KEGG,Up,LFC0,hsa04924,Renin secretion,1,FALSE,0,""
KEGG,Up,LFC0,hsa04925,Aldosterone synthesis and secretion,1,FALSE,0,""
KEGG,Up,LFC0,hsa04926,Relaxin signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04927,Cortisol synthesis and secretion,1,FALSE,0,""
KEGG,Up,LFC0,hsa04928,"Parathyroid hormone synthesis, secretion and action",1,FALSE,0,""
KEGG,Up,LFC0,hsa04929,GnRH secretion,1,FALSE,0,""
KEGG,Up,LFC0,hsa04932,Non-alcoholic fatty liver disease,1,FALSE,0,""
KEGG,Up,LFC0,hsa04933,AGE-RAGE signaling pathway in diabetic complications,1,FALSE,0,""
KEGG,Up,LFC0,hsa04934,Cushing syndrome,1,FALSE,0,""
KEGG,Up,LFC0,hsa04935,"Growth hormone synthesis, secretion and action",1,FALSE,0,""
KEGG,Up,LFC0,hsa04940,Type I diabetes mellitus,1,FALSE,0,""
KEGG,Up,LFC0,hsa04950,Maturity onset diabetes of the young,1,FALSE,0,""
KEGG,Up,LFC0,hsa04960,Aldosterone-regulated sodium reabsorption,1,FALSE,0,""
KEGG,Up,LFC0,hsa04961,Endocrine and other factor-regulated calcium reabsorption,1,FALSE,0,""
KEGG,Up,LFC0,hsa04962,Vasopressin-regulated water reabsorption,1,FALSE,0,""
KEGG,Up,LFC0,hsa04964,Proximal tubule bicarbonate reclamation,1,FALSE,0,""
