database,direction,pathway_id,pathway_name,significant_LFC0,significant_LFC05,significant_LFC1,n_thresholds_sig
KEGG,Down,hsa04920,Adipocytokine signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04921,Oxytocin signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04922,Glucagon signaling pathway,TRUE,TRUE,TRUE,3
KEGG,Down,hsa04923,Regulation of lipolysis in adipocytes,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04924,Renin secretion,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04925,Aldosterone synthesis and secretion,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04926,Relaxin signaling pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04927,Cortisol synthesis and secretion,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04928,"Parathyroid hormone synthesis, secretion and action",FALSE,FALSE,FALSE,0
KEGG,Down,hsa04929,GnRH secretion,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04930,Type II diabetes mellitus,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04931,Insulin resistance,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04932,Non-alcoholic fatty liver disease,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04933,AGE-RAGE signaling pathway in diabetic complications,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04934,Cushing syndrome,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04935,"Growth hormone synthesis, secretion and action",FALSE,FALSE,FALSE,0
KEGG,Down,hsa04936,Alcoholic liver disease,TRUE,TRUE,TRUE,3
KEGG,Down,hsa04940,Type I diabetes mellitus,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04950,Maturity onset diabetes of the young,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04960,Aldosterone-regulated sodium reabsorption,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04961,Endocrine and other factor-regulated calcium reabsorption,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04962,Vasopressin-regulated water reabsorption,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04964,Proximal tubule bicarbonate reclamation,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04966,Collecting duct acid secretion,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04970,Salivary secretion,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04971,Gastric acid secretion,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04972,Pancreatic secretion,FALSE,FALSE,FALSE,0
