gene_id,standard_DEG,treat_DEG
ZNF521,TRUE,TRUE
CBX7,TRUE,TRUE
IL19,TRUE,FALSE
HS6ST2,TRUE,TRUE
HOXB1,TRUE,TRUE
SNAI2,TRUE,TRUE
TMTC1,TRUE,TRUE
ALB,TRUE,TRUE
ATP2B3,TRUE,TRUE
RAB11FIP4,TRUE,TRUE
ST8SIA6,TRUE,TRUE
LRRC10B,TRUE,TRUE
ZNF366,TRUE,TRUE
VSIG8,TRUE,FALSE
ABHD17C,TRUE,TRUE
SCN2B,TRUE,TRUE
CDT1,TRUE,TRUE
PSORS1C1,TRUE,TRUE
PI16,TRUE,TRUE
SYN3,TRUE,TRUE
VAT1,TRUE,TRUE
HS6ST3,TRUE,TRUE
NXPH2,TRUE,TRUE
ZDHHC6,TRUE,TRUE
WWC2,TRUE,TRUE
VIM,TRUE,TRUE
ITPR1,TRUE,TRUE
ADH4,TRUE,TRUE
SPOCK2,TRUE,TRUE
RP3-466P17.1,TRUE,TRUE
MAN1A1,TRUE,TRUE
CD276,TRUE,TRUE
SSTR2,TRUE,TRUE
SPATA16,TRUE,FALSE
MTTP,TRUE,TRUE
TMEM174,TRUE,TRUE
LOXHD1,TRUE,TRUE
RP11-403A3.3,TRUE,TRUE
RNF217,TRUE,TRUE
CD63,TRUE,TRUE
FBLN5,TRUE,TRUE
AL161668.5,TRUE,TRUE
ZNF778,TRUE,TRUE
TUBB8P7,TRUE,TRUE
AHNAK2,TRUE,TRUE
NOVA2,TRUE,TRUE
CORO1C,TRUE,TRUE
SLC43A1,TRUE,TRUE
TNIK,TRUE,TRUE
CD300LG,TRUE,TRUE
RP11-185E8.2,TRUE,TRUE
RP11-288A5.2,TRUE,TRUE
MUC6,TRUE,TRUE
SVOPL,TRUE,TRUE
GDPD2,TRUE,TRUE
ADRB1,TRUE,TRUE
KLHL1,TRUE,TRUE
MYCNOS,TRUE,FALSE
ZNF804B,TRUE,FALSE
OLIG1,TRUE,TRUE
KCNJ9,TRUE,TRUE
AFAP1L2,TRUE,TRUE
C17orf104,TRUE,TRUE
FAM83F,TRUE,TRUE
FAM215A,TRUE,TRUE
HADH,TRUE,TRUE
RP11-567J20.2,TRUE,FALSE
SALL3,TRUE,TRUE
KCNA4,TRUE,TRUE
FAM26E,TRUE,TRUE
WSPAR,TRUE,FALSE
APOD,TRUE,TRUE
RP11-617F23.1,TRUE,TRUE
USP46,TRUE,TRUE
IQGAP3,TRUE,TRUE
C17orf62,TRUE,TRUE
CENPA,TRUE,FALSE
ALOX5,TRUE,TRUE
COL4A3,TRUE,TRUE
AC099684.1,TRUE,TRUE
CDKN1C,TRUE,TRUE
NUGGC,TRUE,TRUE
EXOC3L1,TRUE,TRUE
ORAI3,TRUE,TRUE
HOXD8,TRUE,TRUE
NAGS,TRUE,TRUE
GRASP,TRUE,TRUE
LRRC52,TRUE,TRUE
SELENBP1,TRUE,TRUE
UNC13C,TRUE,TRUE
BCL6B,TRUE,TRUE
RAPGEF4,TRUE,TRUE
ZP2,TRUE,TRUE
UPB1,TRUE,TRUE
UBE2QL1,TRUE,TRUE
IL13RA2,TRUE,TRUE
SNX18,TRUE,TRUE
CCL14,TRUE,TRUE
AP000696.2,TRUE,TRUE
DNASE1,TRUE,TRUE
ZNF209P,TRUE,TRUE
LTBR,FALSE,TRUE
FCGR1A,TRUE,TRUE
LINC01018,TRUE,TRUE
DLK1,TRUE,FALSE
PGM5P3-AS1,TRUE,TRUE
C11orf96,TRUE,TRUE
LANCL3,TRUE,TRUE
ADAMTSL1,TRUE,TRUE
MYOZ1,TRUE,TRUE
RGS7BP,TRUE,TRUE
GAPDH,TRUE,TRUE
LRRC32,TRUE,TRUE
PROZ,TRUE,TRUE
RGS8,TRUE,TRUE
NOS3,TRUE,TRUE
HID1-AS1,TRUE,TRUE
SIGLEC8,TRUE,FALSE
RP11-180N14.1,TRUE,TRUE
BAZ1A,TRUE,TRUE
APOLD1,TRUE,TRUE
EDDM3A,TRUE,TRUE
CDH5,TRUE,TRUE
C9orf47,TRUE,TRUE
DAAM2,TRUE,TRUE
PDZD2,TRUE,TRUE
ADH1B,TRUE,TRUE
FREM1,TRUE,TRUE
ADAMTS19,TRUE,FALSE
PMM2,TRUE,TRUE
AC060834.2,TRUE,TRUE
SLC7A10,TRUE,FALSE
COL25A1,TRUE,TRUE
TRPM6,TRUE,TRUE
FAM184A,TRUE,TRUE
CPT1A,TRUE,TRUE
BUB1,TRUE,TRUE
MAP7D3,TRUE,TRUE
AGXT,TRUE,TRUE
SPOCK3,TRUE,TRUE
VAMP2,TRUE,TRUE
BTN2A2,FALSE,TRUE
STON1,TRUE,TRUE
EHF,TRUE,TRUE
SIM2,TRUE,TRUE
LINC01225,TRUE,TRUE
SCUBE3,TRUE,TRUE
NRGN,TRUE,TRUE
RFC2,FALSE,TRUE
RP11-284F21.10,TRUE,TRUE
CDC6,TRUE,TRUE
SPTBN2,TRUE,TRUE
IGF2,TRUE,TRUE
LHX1,TRUE,TRUE
CCDC178,TRUE,TRUE
APBB2,TRUE,TRUE
RP11-35N6.1,TRUE,TRUE
TBX2,TRUE,TRUE
LINC01543,TRUE,TRUE
GPR155,TRUE,TRUE
THRB,TRUE,TRUE
C10orf71,TRUE,FALSE
ADCK2,FALSE,TRUE
HELT,TRUE,TRUE
CLEC1A,TRUE,TRUE
RHBDF1,TRUE,TRUE
GIMAP8,TRUE,TRUE
EHD3,TRUE,TRUE
CHRNA6,TRUE,FALSE
CPAMD8,TRUE,TRUE
PCSK2,TRUE,TRUE
RP11-554I8.2,TRUE,FALSE
ZRANB2-AS1,TRUE,TRUE
PAPPA2,TRUE,TRUE
SLC25A34,TRUE,TRUE
SH3YL1,TRUE,TRUE
CCDC88B,TRUE,TRUE
RP11-94C24.13,TRUE,TRUE
RP11-81H14.1,TRUE,TRUE
CTD-2008P7.8,TRUE,TRUE
SHISA3,TRUE,TRUE
ERP27,TRUE,TRUE
LINC00694,TRUE,TRUE
GPR84,TRUE,TRUE
RP11-293M10.6,TRUE,TRUE
MYLK3,TRUE,TRUE
GSTM5,TRUE,TRUE
PPAP2A,TRUE,TRUE
FAM110D,TRUE,TRUE
FDX1,TRUE,TRUE
CCM2,FALSE,TRUE
CPEB3,TRUE,TRUE
RP11-366L20.2,TRUE,TRUE
RP11-875O11.1,TRUE,TRUE
GM2A,TRUE,TRUE
DEFB132,TRUE,FALSE
AC011899.9,TRUE,FALSE
KLHL3,TRUE,TRUE
OSCAR,TRUE,TRUE
SLC16A11,TRUE,TRUE
HSPA2,TRUE,TRUE
PLCL1,TRUE,TRUE
FAM180A,TRUE,TRUE
AMPH,TRUE,TRUE
EPN3,TRUE,TRUE
PXDN,TRUE,TRUE
KCNK13,TRUE,TRUE
ASB5,TRUE,TRUE
CITF22-24E5.1,TRUE,FALSE
AURKB,TRUE,FALSE
ITIH5,TRUE,TRUE
LRRTM2,TRUE,TRUE
MNX1,TRUE,TRUE
SLC16A2,TRUE,TRUE
