gene_id,logFC_Paired,FDR_Paired,logFC_TCGA,FDR_TCGA,logFC_GTEx,FDR_GTEx,discordant,comparator_sensitive
PDHA1,-0.341374999999999,0.027978848840744,-0.17493767764858,0.00740942744975621,0.748323313492063,0.000180859457211374,FALSE,FALSE
PDHB,-0.602825,1.11236525529217e-06,-0.511854699612404,8.3791661848404e-24,0.561422321428572,0.000970948198461259,FALSE,FALSE
PFKL,-0.64120625,2.3443215497474e-06,-0.325192070413437,9.98607061204502e-08,-0.485228670634922,0.000218365705328873,FALSE,FALSE
PFKM,-0.153321875,0.415207574948261,-0.299020437661498,5.1135696390247e-05,0.934944097222222,7.61767229612354e-06,FALSE,FALSE
PFKP,0.898175000000002,0.000352771814559596,0.952344880490957,8.6585082622377e-30,1.79354712301587,7.03936733636312e-18,FALSE,FALSE
PGAM1,0.354574999999998,0.0101741867668384,0.149022343346253,0.0138309998499312,1.09693189484127,4.69193109567072e-08,FALSE,FALSE
PGAM2,-5.170975,2.3371252180936e-13,-4.49551961401809,5.71963476908019e-78,-3.0001460813492,4.86256947757534e-13,FALSE,TRUE
PGAM4,-0.273225,0.283208597521008,-0.473664284560723,2.60216501561212e-05,0.932698561507936,8.71109581827182e-05,FALSE,FALSE
PGD,0.219325,0.241252573808832,0.0149443394702833,0.815678644592345,0.892994394841272,1.89182453459878e-06,FALSE,FALSE
PGK1,0.172909375000001,0.212434172872105,-0.124140649224806,0.0873008062455949,0.945171726190477,2.38398454583115e-05,TRUE,FALSE
PGLS,0.870578125000001,7.44861642805876e-09,1.11259678617571,2.44637451113465e-51,0.973719543650794,2.20223883618505e-07,FALSE,FALSE
PGM1,0.0533499999999991,0.74913651745316,0.029505208333333,0.683493419977056,1.12823854166667,9.74547232411299e-09,FALSE,FALSE
PGM2,-0.251421875,0.100019376805826,-0.671758680555556,2.04758661701333e-23,0.0936710813492047,0.643917907556301,FALSE,FALSE
PKLR,-3.371975,0.000108253323611348,-2.01946942021964,1.74136342785238e-09,-1.1280972718254,0.0905588263598063,FALSE,TRUE
PKM,0.81938125,2.16008845774943e-05,0.662975500645995,3.00581292952452e-21,1.83844117063492,2.91684957361309e-17,FALSE,FALSE
PRPS1,-0.00859062500000036,0.949994316733699,-0.328576049741602,6.35065481689055e-11,0.360686408730159,0.00149444565515566,FALSE,FALSE
PRPS2,-0.84610625,5.15737231731879e-05,-1.19384670542636,2.2884291690727e-53,0.762146428571429,4.37152495690282e-05,FALSE,TRUE
RBKS,-1.032984375,4.04426662530642e-06,-0.540096180555555,6.54948439863827e-12,0.575550248015873,0.00385536666545712,FALSE,TRUE
RGN,-1.84613125,5.65286380633114e-05,-1.23371019864341,1.18135433631203e-12,-0.716646577380956,0.0663489354827121,FALSE,FALSE
RPE,0.256659375,0.0128484613808933,-0.0211206233850129,0.624510319747211,0.887934027777779,2.56471075606529e-09,TRUE,FALSE
RPEL1,0.19816875,0.305370191720904,0.0167201308139536,0.854150059835239,0.143300446428571,0.439421726125328,FALSE,FALSE
RPIA,-0.0454687499999996,0.725375636511889,-0.0489228439922483,0.286041410270351,0.339316220238098,0.0186067109763636,FALSE,FALSE
SDHA,-0.27695,0.117644660435943,-0.0587531895994818,0.417028577744229,0.99214528769841,2.76704372043946e-06,FALSE,FALSE
SDHB,-0.828009375,1.7782131132437e-06,-0.725444775516796,4.41536348364677e-28,0.0677922123015881,0.760332722275834,FALSE,FALSE
SDHC,-0.531403125000001,3.66527016466247e-05,-0.589499014857882,7.05559698880678e-29,0.404432242063493,0.031919769119568,FALSE,FALSE
SDHD,-0.933428125000002,6.28823568039171e-07,-1.11221185400517,2.69278090728111e-54,0.120868849206348,0.586680709055202,FALSE,FALSE
SHPK,-0.370181250000001,0.0116126161305432,-0.235486740956072,0.000336752043065983,0.337126686507938,0.0658340250845917,FALSE,FALSE
SUCLA2,-0.771671875000001,1.41671286774139e-05,-0.976007679263566,2.35234630793574e-37,0.328230803571428,0.11257301684085,FALSE,FALSE
SUCLG1,-0.977321875,2.89666853221054e-05,-0.779008729005168,2.34715421677835e-20,-0.0530923115079363,0.839275760243077,FALSE,FALSE
SUCLG2,-0.897099999999999,3.02828460247675e-05,-0.915856581072351,2.08548622783701e-31,0.343124454365079,0.116444378307186,FALSE,FALSE
TALDO1,0.701828124999999,0.00123218508168645,0.739546430878553,5.24951853655059e-17,1.34696974206349,1.71799746659109e-08,FALSE,FALSE
TKT,1.595046875,8.10702966300458e-12,1.47151138565892,1.11986858481077e-52,1.42274851190476,2.82200615088406e-09,FALSE,FALSE
TKTL1,-1.356240625,0.000200030237843573,-1.20064329780362,4.92905198655471e-16,-1.00082073412698,0.00179064817828229,FALSE,FALSE
TKTL2,-0.37969375,0.0226038668258719,-0.633686579457368,1.7692009809486e-18,-0.910752083333337,1.22820244699091e-11,FALSE,FALSE
TPI1,0.583921874999999,3.46606865562408e-07,0.481100645994831,6.24843784386816e-19,1.14983373015873,1.4118648890878e-08,FALSE,FALSE
